ISO,Country,users,fixed-line/100,mobile/100,upload,download,ping,mobile upload,mobile download,mobile ping,internet capacity,2g coverage/pop,3g coverage/pop,4g coverage/pop,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of local language keyboard on devices / Qualitative rating 0-1, 1=best","3.1.4) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best","3.2.2) e-Health content / Qualitative rating 0-3, 3=best",3.2.3) e-Entertainment (growth) content / % growth,3.2.4) e-Entertainment (views) content / YouTube views per capita,"3.2.5) e-Commerce content / Score of 0-100, 100=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best","4.2.2) Availability of CERTS / Qualitative rating 0-1, 1=best",4.2.3) Female access to a mobile phone / % of households,4.2.4) Female access to the Internet / % of households,"4.3.1) Existence of national broadband strategy / Qualitative rating 0-2, 2=best","4.3.2) Existence of government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) Existence of national digital identification system / Qualitative rating 0-3, 3=best","4.3.4) Existence of Universal Service Fund / Qualitative rating 0-1, 1=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions
GT,Guatemala,17.37750613,2.828940885,111.4812993,2312,6478,39,4997,9627,71,24676.45411,100,92,1,0,0,0,97.4,81.4,89.36,4.323020479,6.441414114,6.506364155,84,3866.24,5704.98,1,1,1,2,2,1,0,0,21.4,79.07421,5.6,1,2,2,1,87,23,0,0,2,0,63.7942,16.34,51.571,3590,48.66,2.72,89.5,2.447980416,0,2.27,5.92,28,5.438148037,0.47898,4.409997,12.262959
IN,India,20,1.335006976,78.84136348,5983,6595,56,2213,5633,141,5724.694183,93.46,75,49,2,1,0.05339236,96,74,73.89,3.047011275,1.236632773,5.047862549,31.8237,1570.65,3337.48,2,1,1,2,2,1,86.28872257,83.82981872,34,72.2253,5.4,2,3,2,1,91,7,2,2,3,1,2072,1311.049,32.7,1590,35.15,4.27,81,0.14492212,37.96893287,2.566,7.74,38,5.6,0.46375,462.124989,864.676587
ID,Indonesia,38.40109703,1.089129574,130,3619,7362,38,4170,8475,72,6584.246641,95,60,5,2,1,0.156397233,94.2,65.6,89.45,1.432926642,1.617000027,10.03048649,31.7448,2938.96,3437,2,2,1,1,1,2,213.7701154,63.98164241,33,95.43768,7.6,3,1,2,1,76,23,2,1,2,1,861.79,255.759,53.9,3440,39.47,1.25,80.5,4.2227253,51.93112281,1.799,7.03,36,5.6,0.44784,53.236719,207.344381
IR,Iran,52.18,10.86343996,93.38482985,2737,4872,48,3146,5236,132,8502.162012,94.2,59.81,14.06,2,2,0.379218809,100,94.8,89.52,0.68832951,1.624313867,0.69464446,53.9847,4762.78,5590.64,2,3,0,2,2,3,0,0,42.6,87.17253,8.2,3,1,2,1,94,40,2,2,2,1,416.663,79.11,73.5,6550,37.35,0.03,98.6,1.264062698,89.07188353,2.411,2.16,27,4.4,0.46494,39.149103,40.894043
IT,Italy,75.3897,23.79615716,130,2740,10777,61,11588,25601,42,77322.28905,100,99,91,2,2,1.505016722,100,100,99.16,0.608819824,1.40755859,1.010640892,204.8682,2771.06,2856.08,2,3,1,2,2,3,71.29334065,497.5009241,63.5,99.01579,10.1,3,2,2,1,98,90,2,1,3,1,1814.8,59.8,68.9,32790,35.16,0,100,5.016722408,85.3198738,1.774,7.98,44,6.5,0.77636,39.211518,20.589486
JP,Japan,96.5,30.48662982,125.0537607,57969,67385,30,12839,29397,69,62618.15043,99.9,99.9,99,2,2,0.790045428,100,100,99.5,0.973190612,1.400697971,0.58963561,507.6757,3562.32,2055.9,2,3,1,2,2,3,71.94146206,601.5301258,86.1,100,11.5,3,2,2,1,95,73,2,2,3,1,4125.4,126.575,94,36680,32.11,0,100,2.765158997,98.74923734,1.395,7.96,75,7.3,0.84397,115.111595,11.21212
KZ,Kazakhstan,82.21801903,13.04914532,130,15756,15721,45,6849,6234,89,69615.22562,96.1,72.7,65.5,2,2,0.567375887,100,100,97.18,0.462686352,0.572518157,0.902004705,80.5808,3436.14,5963.84,2,3,1,1,1,2,1483.372191,135.0841757,36.5,99.78785,11.4,3,3,2,1,93,66,2,2,3,0,174.05,17.625,53.1,11580,26.33,0.01,100,0,97,2.019,3.06,28,5.2,0.72499,9.961519,7.893865
KE,Kenya,19.6,0.280472468,80.67820274,4684,6327,80,3981,9014,98,40067.03701,92,69,20.25113074,2,2,0.434310532,60,7.1,74.23,2.446120117,5.092709379,39.13792188,68.8118,5215.66,3120.32,2,3,1,1,2,2,122.6946382,32.60653092,37.9,78.0234,6.3,3,0,2,1,77,26,2,1,2,1,63.3981,46.05,25.622,1340,48.51,11.7,20.2,1.520086862,40.61918596,2.379,5.33,25,5.07398137,0.41855,21.248977,26.002472
LR,Liberia,2.728219779,0.155436767,81.09358204,5186.844956,7801.018034,132.9013596,1399.109448,3826.087446,152.9091301,7522.273184,60,50,10.12206736,0,0,2.220741728,16.9,3,20.53505569,6.315789474,31.57781903,315.7894737,39.6,4437.84,6502.48,2,1,1,1,1,0,0,0,15.1,47.60014,4.1,0,1,0,0,47,3,0,1,0,1,2.053,4.503,49.701,380,36.48,28.14,9.8,2.220741728,0,1.998,4.95,37,4.986127734,0.23378,0.395063,4.220159
MG,Madagascar,5.79,0.066019156,46.01535193,11212,13728,51,1402.9386,4367.597207,155.9382534,12420.19355,92.16,49.99253165,10.45194444,1,0,0.412541254,36.9,3.7,0,0.973967868,29.57935087,145.1212123,46.8,4371.38,5222.049728,2,2,0,1,1,2,0,0,11.7,64.6563,6,0,0,2,0,38,1,0,0,0,1,9.7371,24.24,35.105,420,42.65,39.23,15,1.237623762,2.98013245,1.763,4.85,28,4.869461067,0.24161,1.066397,23.849425
MW,Malawi,9.1,0.003223815,35.33642215,4912.292556,7643.456051,72.29866653,853.4,3936.3,293.2,2428.818857,95,32,6,0,1,0.58088876,32.4,4.2,0,17.94645857,20.17300368,35.18913445,79.2,5024.5,5036.212198,2,0,1,1,2,3,0,0,14.2,65.96383,4.3,1,0,1,0,47,6,2,0,0,0,6.4019,17.215,16.272,350,46.12,33.29,8.7,0,27.74382194,1.817,5.55,31,4.826961067,0.23977,1.160839,16.588987
MY,Malaysia,70.05542788,8.950194929,130,5616,10223,45,4351,8140,93,34119.36178,96,92,71,2,1,0.329695691,99.8,98.7,97.15,0.924393126,0.971221493,1.170897924,170.7698,2806.74,6478.7,2,2,1,2,2,3,56.78253944,332.7228601,60.1,94.63699,10,3,3,2,1,95,71,2,2,3,1,296.2845,30.331,74.9,10570,46.26,0.04,99.5,9.890870726,96.4028777,1.648,6.43,50,7.2,0.61749,21.090777,9.660825
MV,Maldives,49.62,6.473807269,130,4496,6591,33,5703,10129,106,88008.29004,100,100,58,1,2,0,100,100,92.48353554,1.159098694,1.848230631,3.723165503,210.468,5003.92,5028.818063,2,2,0,1,2,2,0,0,53.99507016,99.32102,5.8,1,2,0,0,81.50767581,41.44128271,1,0,0,0,3.142812004,0.409163,45.536,6670,38.37,1.5,100,391.0422008,100,2.03465,5.906,0,6.173499816,0.43299,0.198071,0.171741
ML,Mali,8.24822377,0.021520935,130,4477.499723,6837.425197,234.0204163,1084.5,4445.5,188.5,1279.276129,89,19,0,0,0,0,52.7,8.7,33.98,12.07075231,14.43977328,51.10807891,39.6,5162,5842.86,0,0,1,0,1,1,0,0,13.5,33.06887,2,0,0,2,0,57,4,0,0,2,1,13.107,16.259,39.916,790,33.04,15.19,25.6,0,10.67987762,2.489,5.7,35,5.084461067,0.18165,2.21245,15.922385
MX,Mexico,39.17773854,11.6455908,85.30441671,4066,10335,49,5819,10007,84,20855.31721,99.9,89,58,2,2,0.078729619,99.62388368,97.2,96.4,0.460078838,1.850225917,2.721483296,142.092,5151.66,3466.3,2,1,1,2,2,3,76.08971947,457.8308272,49.1,94.54559,8.5,1,4,2,1,62,36,1,2,2,1,1143.7,127.017,79.3,9710,48.21,0.81,99.1,0.472377713,12.32925372,2.557,6.55,35,6.8,0.61953,58.016997,70.615007
MN,Mongolia,24.49994534,7.117462924,104.9641984,20034,20134,29,1181,3335.5,78.7,159595.0353,99,95,23.46377348,1,2,3.378378378,97.5,72.9,91.31,1.751268238,2.06816132,2.069680645,120,3047.86,2267.32,2,3,0,1,2,2,0,0,29.8,98.36764,9.3,1,1,0,1,98,42,0,0,2,1,11.758,2.96,72.04,3830,32.04,0.03,90.2,0,91.22340426,1.838,6.62,39,5.637583616,0.51943,1.069693,1.936751
MA,Morocco,66.5,3.379554393,126.8723216,614,4653,111,5754,11524,99,18316.33786,99.2,80,45.44,2,2,0.290883705,100,97.4,87.19,2.021316891,4.648934971,4.002207444,70.7013,3511.01,9980.02,2,2,1,2,1,1,139.3069526,242.0543384,41.5,71.71055,4.4,3,0,2,1,98,50,2,0,1,1,100.8953,34.378,60.195,3040,40.72,0.6,98.9,1.163534819,3,2.086,4.66,36,4.7977944,0.51858,20.068556,14.748509
MZ,Mozambique,13.2,0.07621168,74.23884829,2452,3414,82,1332.2,3851.5,118.8,6145.112078,76,50,16.20476673,0,0,0.357398142,66.3,26.5,30.42,5.174681061,9.83241993,33.63542689,201.6,3389.94,5685.657141,2,2,1,1,1,1,0,0,22.47943987,58.83655,3.2,1,2,1,1,74,6,0,2,1,1,14.688,27.98,32.214,580,45.58,31.41,39.1,1.429592566,26.83054373,1.963,4.6,31,4.884211538,0.2305,1.834337,26.917025
MM,Myanmar,15,0.34994292,76.67284749,9771,6412,52,1356,3257,128,3675.872431,79.3,79.3,0,0,2,0,59.5,18.3,63.2,2.257840522,9.524090107,17.06820181,49.2,3982.64,3813.54,2,0,1,2,2,2,0,0,12,93.09005,4.1,2,2,2,1,57,31,0,0,0,0,56.355,53.897,34.098,1280,30,0,31.9,0.742156335,45.19247815,2.256,4.14,22,5.406750283,0.23619,1.353649,53.009777
NP,Nepal,6.3,1.064340033,96.74910847,7466,7146,50,1294.6,4012.4,130.1,2699.825727,85,54.9063718,0,1,0,0.351370344,97,71.8,48.18,9.953210153,7.44649805,10.7494665,43.2,5000.02,4213.34,2,0,1,2,1,1,185.3409929,84.15516606,19.9,64.66364,3.3,2,0,0,1,90,14,2,2,2,1,20.658,28.46,18.615,730,32.84,3.05,76.3,0,6.483835815,2.026,4.77,27,5.525083616,0.34581,4.962323,23.888394
NL,Netherlands,95.966,41.73008565,123.5384297,19777,45575,24,13434,30211,64,242325.9826,100,99,99,2,2,4.141766759,100,100,99.58,0.326329416,0.487794831,0.883808835,450.1425,3555.3,3714.82,2,2,1,2,2,2,100.5272383,1774.004497,79.5,100,11.9,3,3,2,1,94,90,2,1,3,0,750.79,16.901,90.9,48940,27.99,0,100,5.325128691,99.18351578,1.541,8.92,87,8.1,0.86586,15.915076,1.064653
NE,Niger,2.6,0.057088349,46.49586525,4599.222653,6955.724636,96.95051715,1329.249402,4154.3507,160.6758608,2688.235534,80,49.1521618,0,0,0,0,61.8,3.9,0,6.190787912,93.35041646,154.7696978,68.4,3908.5,5609.326293,2,0,1,0,1,1,0,0,6.5,19.1026,1.4,0,2,1,0,46,1,0,0,0,1,7.134,19.9,18.732,390,33.99,13.69,14.5,0,5.240174672,2.239,3.85,34,4.7977944,0.05933,0.439164,20.276121
NG,Nigeria,11.4,0.007896539,82.18573909,5175,5528,93,1632,4726,191,2986.164988,99.39,66.6,15.31454149,2,2,0.054884742,55,36.5,87.62,1.160900262,5.367705141,13.93080315,68.9924,2777.72,2049.46,2,1,1,1,2,1,150.279019,27.62912546,30.4,59.56808,5.9,2,0,0,1,79,21,2,2,3,1,493.84,182.2,48,2820,42.97,21.76,45,0.329308452,26.02814251,2.877,4.62,26,4.6,0.3291,86.219965,100.767598
OM,Oman,83.95,5.609576065,130,2953,11192,49,7358,15561,58,59783.70571,99,95,86,2,2,0,99.9,92.9,98.29,0.922262494,1.842129502,1.291167492,230.6951,5144.5,5760.52,2,1,1,2,2,3,124.4408163,108.8307035,48.8,93.97165,8,3,1,2,1,99,59.8,2,2,3,1,69.8317,4.1579,77.641,16920,39.3,0,98.3,40.88602419,86.97478992,2.016,3.04,45,6.3902944,0.59616,3.31026,1.344211
PK,Pakistan,24,0.953099019,66.91662303,2796,4022,65,3733,5584,106,11907.33676,86,46,16,1,0,0,90.6,61.9,70.87,0.162175584,4.121332015,5.537160855,24.0423,2299.17,7107.76,2,2,0,1,2,1,223.2861273,25.52541703,27.7,56.44031,4.7,0,1,2,0,75,5,2,0,2,1,271.05,188.9,38.7,1440,30.69,0.87,72.8,0.476442562,32.64523876,3.145,4.4,30,4.9,0.25832,34.3424,158.484102
PE,Peru,23.16654049,6.416508727,109.8669058,1167,7215,58,6023,9758,107,43154.45812,100,90.67,62,2,2,0.321006677,96,70.2,94.11,1.82338276,1.704371144,2.127279887,104.8134,3597.82,6916.66,2,2,1,1,2,3,117.4976839,423.1956492,43.1,94.37435,9,3,1,2,1,75,24,1,2,2,1,192.12,31.152,78.7,6200,44.14,0.79,90.3,1.284026708,49.05775532,2.057,6.58,36,6.1,0.53815,13.036965,18.73726
PH,Philippines,28.3,3.398730875,118.1255437,2627,5436,51,3047,5606,151,37409.1609,99,78,39,2,2,0.297917556,93.6,67.4,89.58,1.48249268,2.283048366,7.442262246,36.198,5003.38,6672.84,2,1,1,1,2,2,98.80435699,233.2088495,35.7,96.61803,8.9,2,2,2,0,88,21,2,2,0,0,291.99,100.699,44.2,3540,43.04,2.74,79.1,2.780563859,39.74032927,2.511,6.84,35,6,0.57655,44.478808,57.771325
