ISO,Country,users,fixed-line/100,mobile/100,upload,download,ping,"mobile upload","mobile download","mobile ping","internet capacity","2g coverage/pop","3g coverage/pop","4g coverage/pop","urban electricity acces % pop","rural electricity acces % pop","literacy %","years schooling","privacy regulations 0-2","Nominal GDP",population,"total electricity access","internet access schools",GPI,"Democracy Index","Corruption Perception Index","internet users","offline population"
MX,Mexico,"39,17773854","11,6455908",85.30441671,4066,10335,49,5819,10007,84,"20855,31721","99,9",89,58,"99,62388368","97,2",94.54559,"8,5",2,"1143,7","127,017","99,1",12.32925372,"2,557","6,55",35,"58,016997","70,615007"
MN,Mongolia,"24,49994534","7,117462924",104.9641984,20034,20134,29,1181,"3335,5","78,7","159595,0353",99,95,"23,46377348","97,5","72,9",98.36764,"9,3",0,"11,758","2,96","90,2",91.22340426,"1,838","6,62",39,"1,069693","1,936751"
MA,Morocco,"66,5","3,379554393",126.8723216,614,4653,111,5754,11524,99,"18316,33786","99,2",80,"45,44",100,"97,4",71.71055,"4,4",2,"100,8953","34,378","98,9",3,"2,086","4,66",36,"20,068556","14,748509"
MZ,Mozambique,"13,2","0,07621168",74.23884829,2452,3414,82,"1332,2","3851,5","118,8","6145,112078",76,50,"16,20476673","66,3","26,5",58.83655,"3,2",1,"14,688","27,98","39,1",26.83054373,"1,963","4,6",31,"1,834337","26,917025"
MM,Myanmar,15,"0,34994292",76.67284749,9771,6412,52,1356,3257,128,"3675,872431","79,3","79,3",0,"59,5","18,3",93.09005,"4,1",2,"56,355","53,897","31,9",45.19247815,"2,256","4,14",22,"1,353649","53,009777"
NP,Nepal,"6,3","1,064340033",96.74910847,7466,7146,50,"1294,6","4012,4","130,1","2699,825727",85,"54,9063718",0,97,"71,8",64.66364,"3,3",0,"20,658","28,46","76,3",6.483835815,"2,026","4,77",27,"4,962323","23,888394"
NL,Netherlands,"95,966","41,73008565",123.5384297,19777,45575,24,13434,30211,64,"242325,9826",100,99,99,100,100,100,"11,9",2,"750,79","16,901",100,99.18351578,"1,541","8,92",87,"15,915076","1,064653"
NE,Niger,"2,6","0,057088349",46.49586525,"4599,222653","6955,724636","96,95051715","1329,249402","4154,3507","160,6758608","2688,235534",80,"49,1521618",0,"61,8","3,9",19.1026,"1,4",1,"7,134","19,9","14,5",5.240174672,"2,239","3,85",34,"0,439164","20,276121"
NG,Nigeria,"11,4","0,007896539",82.18573909,5175,5528,93,1632,4726,191,"2986,164988","99,39","66,6","15,31454149",55,"36,5",59.56808,"5,9",0,"493,84","182,2",45,26.02814251,"2,877","4,62",26,"86,219965","100,767598"
OM,Oman,"83,95","5,609576065",130,2953,11192,49,7358,15561,58,"59783,70571",99,95,86,"99,9","92,9",93.97165,8,2,"69,8317","4,1579","98,3",86.97478992,"2,016","3,04",45,"3,31026","1,344211"
PK,Pakistan,24,"0,953099019",66.91662303,2796,4022,65,3733,5584,106,"11907,33676",86,46,16,"90,6","61,9",56.44031,"4,7",2,"271,05","188,9","72,8",32.64523876,"3,145","4,4",30,"34,3424","158,484102"
PE,Peru,"23,16654049","6,416508727",109.8669058,1167,7215,58,6023,9758,107,"43154,45812",100,"90,67",62,96,"70,2",94.37435,9,2,"192,12","31,152","90,3",49.05775532,"2,057","6,58",36,"13,036965","18,73726"
PH,Philippines,"28,3","3,398730875",118.1255437,2627,5436,51,3047,5606,151,"37409,1609",99,78,39,"93,6","67,4",96.61803,"8,9",2,"291,99","100,699","79,1",39.74032927,"2,511","6,84",35,"44,478808","57,771325"
PL,Poland,"75,7829","19,47329027",130,8913,24992,32,7038,13155,52,"86573,32238","99,9","99,9","83,7",100,100,99.78742,"11,8",2,"474,46","38,4",100,81,"1,557","7,09",62,"27,922152","10,671009"
RO,Romania,"67,7097","19,77422148",107.1402041,46838,64931,22,18038,29355,53,"146012,0549","99,9","99,9",72,100,100,98.75703,"10,8",2,"177,96","19,511",100,80.19984321,"1,649","6,68",46,"11,236186","8,136548"
RU,Russia,"72,05","18,77489375",130,31112,30086,24,7463,7692,94,"26845,32675",89,73,50,100,100,99.71957,12,2,"1324,5","146,499",100,80,"3,079","3,31",29,"102,258256","41,181576"
RW,Rwanda,"6,72","0,169979011",70.48290534,4676,6416,64,"1475,752655","4173,952278","149,3616419","5661,049827","99,98","88,01",20,67,"4,7",71.2435,"3,7",1,"8,1009","11,61","21,4",18,"2,323","3,07",54,"1,478216","10,40455"
SA,"Saudi Arabia","93,99998816","12,00919829",130,3554,9192,61,5054,5487,70,"88669,12693","99,42",97,85,"99,8","97,6",94.84237,"8,7",1,"646,0019","30,38","99,4",80,"2,338","1,93",52,"20,813695","11,344279"
SN,Senegal,"15,7","0,672198851",99.94675778,901,2892,143,"1794,489109","4458,035811","131,5101793","6930,586328",92,"58,17029849","18,47134929","89,8",28,55.62485,"2,5",2,"13,7796","15,13","54,7",5,"1,978","6,08",44,"3,647939","11,941546"
SC,Seychelles,"59,44","14,31405593",130,"6076,660669","5799,046806","43,25040755","4121,812971","7563,324391","79,70014393","38395,18463",98,90,"42,91744269",97,97,95.32108,"9,4",0,"1,4397","0,096",97,75.18759039,"2,541","4,296206897",55,"0,056168","0,040858"
SG,Singapore,"89,5","26,45017696",130,96124,97262,19,21833,38462,58,"737006,3262",100,100,100,100,100,96.77463,"10,6",2,"292,73","5,535",100,100,"1,535","6,14",85,"4,699204","0,997302"
ZA,"South Africa","50,58015988","5,25139839",130,2667,6336,57,4103,7559,57,"147629,5001",99,98,54,90,"77,3",94.59794,"9,9",2,"314,5911","54,492","85,4",66.9822452,"2,316","7,56",44,"28,58029","26,398617"
KR,"South Korea","98,79383091","40,24989913",118.4619172,53168,60099,21,14335,31072,68,"46764,48478","99,9",99,99,100,100,97.96594,"11,9",2,"1378,1","50,293",100,100,"1,858","7,97",56,"43,274132","7,229801"
ES,Spain,"78,7489","28,30752446",107.8951854,17479,37572,41,9570,18623,61,"105005,9328","99,8","98,9",75,100,100,98.11451,"9,6",2,"1199,7","46,122",100,100,"1,604","8,3",58,"37,865104","8,1995"
LK,"Sri Lanka","18,11","3,100226256",112.8295497,2576,8396,116,2456,5976,159,"13886,4918",98,74,39,"98,6",93,92.61417,"10,8",2,"82,3162","21,62",94,17.8044562,"2,133","6,42",37,"6,087164","14,723652"
SD,Sudan,"33,5","0,069883241",70.52824566,"4733,581142","7372,537485","62,41222193",1126,3272,118,"2189,313823","89,45","45,73","27,58483261","62,5","21,2",58.60132,"3,1",2,"83,7087","27,89","35,1",4,"3,269","2,37",12,"10,886813","30,288728"
SE,Sweden,"91,0333","36,06645552",130,31208,47143,30,8317,20107,48,"421237,3397","99,99","99,99","99,99",100,100,100,"12,1",2,"493,05","9,851",100,100,"1,461","9,45",89,"9,169705","0,682147"
TW,Taiwan,"80,16","26,42135901",127.3047195,21360,48940,17,11368,22584,41,"73204,34556",100,100,"99,45",99,99,100,"10,71",2,"522,95","23,492",99,90.99903552,"1,787","7,83",0,"19,666364","3,798423"
TZ,Tanzania,"4,51","0,202712539",75.85579688,3775,3904,75,2056,4256,153,"4106,779909",95,85,13,"70,6","3,8",80.3595,"5,1",2,"45,666","53,47",24,31.98683638,"1,899","5,58",30,"2,895662","52,259811"
TH,Thailand,"52,16","9,241737473",125.8101802,4665,17769,33,8777,18395,50,"64907,22129",97,97,21,"99,7","98,3",93.98302,"7,3",2,"395,26","67,4",99,96.70260782,"2,312","5,09",38,"29,078158","39,068451"
TR,Turkey,"69,54448134","12,39344232",96.02134861,2662,10373,37,2625,9716,57,"59034,36455","98,51","95,03","49,85027283",100,100,95.6881,"7,6",0,"718,0369","76,68",100,86,"2,71","5,12",42,"46,19672","33,425342"
UG,Uganda,"7,2","0,324354526",50.37278848,4189,3325,85,1688,4313,116,"4633,085856",100,45,4,"55,4","7,1",73.80984,"5,4",0,"25,9945","39,03","14,5",30.44731342,"2,148","5,22",25,"7,645197","32,677571"
UA,Ukraine,"51,1","11,80934808",130,21835,23366,35,3158,5727,100,"45743,49109","99,9",35,"41,81968901",100,100,99.76411,"11,3",2,"90,615","42,76",100,71.99862023,"3,287","5,7",27,"19,678089","24,946284"
GB,"United Kingdom","91,2516","37,72293453",125.7508428,7904,29791,36,8076,18206,55,"374553,9038","99,4","99,3","89,5",100,100,100,"13,1",2,"2857,7","64,444",100,100,"1,83","8,31",81,"60,273385","4,837758"
US,"United States","82,2","31,53100176",117.5867444,11971,36102,38,9997,17111,88,"99016,98775","99,9","99,9","99,6",100,100,100,"12,9",2,"18036,7","321,341",100,100,"2,154","8,05",76,"286,942362","37,176425"
UZ,Uzbekistan,"52,6","3,565797458",73.31992547,3473,2381,59,1277,4251,135,"2075,362492","98,8",44,10,100,100,99.99519,"10,9",2,"66,6911","31,3",100,73.08924252,"2,216","1,95",19,"15,453227","14,847219"
VE,Venezuela,"34,7025068","8,244989519",92.97221122,663,2037,122,2625,5503,95,"16310,01424",98,"63,52984711",62,"99,8","98,6",95.39925,"8,9",0,"478,5","30,41","99,7",14.58470821,"2,651",5,17,"18,254349","13,264506"
VN,Vietnam,"24,1","8,138209934",130,18027,16391,18,1740,4500,77,"24373,68202",94,"63,64314107","24,78032853","99,3",96,94.51427,"7,5",2,"191,38","93,448","97,1",51.82013017,"1,906","3,53",31,"49,063762","45,380438"
YE,Yemen,"5,479","1,546891207",67.98097332,487,1850,141,"1439,604045","4120,3569","151,6793354","2496,418191","70,7","51,9620803",0,"72,1","32,1",69.96195,"2,6",2,"28,604","25,47","45,5",27.39776077,"3,399","2,24",18,"6,773228","20,704372"
ZM,Zambia,"12,7","0,14535809",74.47177776,3334,4361,100,1317,"3608,9","238,4","3186,752887",93,53,"1,34",45,"13,5",85.11726,"6,6",1,"21,2925","16,21","26,1",6.953020134,"1,783","6,28",38,"3,167934","13,549398"
